id	code	caption	description	additionalInfo.format	additionalInfo.unit	additionalInfo.dataType	additionalInfo.conversionFactor	additionalInfo.noDataValue	additionalInfo.spatialResolution	additionalInfo.spatialExtent	additionalInfo.spatialReferenceSystem	additionalInfo.temporalResolution	additionalInfo.temporalExtent	additionalInfo.nearRealTime	additionalInfo.methodology	links.href
11	L1_NPP_D	Net Primary Production	Net Primary Production (NPP) is a fundamental characteristic of an ecosystem, expressing the conversion of carbon dioxide into biomass driven by photosynthesis. The pixel value represents the mean daily NPP for that specific dekad.	Raster Dataset	g/m²	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.001	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	The core of the methodology for deriving NPP is detailed in Veroustraete et al. (2002), whilst the practical implementation, as developed for the MARS Crop Yield Forecasting System, is described in Eerens et al. (2004). These methodologies were improved within the framework of the Copernicus Global Land Component, the most important change being the incorporation of biome-specific light-use efficiencies (LUEs).  The FRAME project applies this updated methodology, adding improvements which include the addition of a reduction factor to account for reduced water availability (i.e. soil moisture stress).The following data is used to calculate NPP:- Daily:incoming solar radiation and temperature data (Tmin/Tmax);- Dekadal:fAPAR and soil moisture stress;- Seasonal:Land Cover.Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_NPP_D
12	L1_PCP_A	Precipitation (Annual)	Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the total of daily precipitation in the year expressed in mm (1mm=1l/m² or 1mm=10m³/ha).	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 5km (0.05 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See daily Precipitation (L1_PCP_E) for further information. The annual data is obtained by taking the daily PCP, summing the days of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_A
13	L1_PCP_D	Precipitation (Dekadal)	Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the average of daily precipitation in the dekad expressed in mm (1mm=1l/m² or 1mm=10m³/ha).	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 5km (0.05 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	See daily precipitation (L1_PCP_E) for further information. The dekadal average is obtained by taking the daily PCP, summing the days of each dekad, and dividing the total by the number of the days in the dekad.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_D
14	L1_PCP_E	Precipitation (Daily)	Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the daily amount of precipitation expressed in mm (1mm=1l/m² or 1mm=10m³/ha). For details see http://chg.geog.ucsb.edu/data/chirps	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 5km (0.05 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Daily	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	Information on the methodology applied to produce CHIRPS data can be found at http://chg.geog.ucsb.edu/data/chirps.\n\nData component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_E
15	L1_PCP_M	Precipitation (Monthly)	Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the total of daily precipitation in the month expressed in mm (1mm=1l/m² or 1mm=10m³/ha).	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 5km (0.05 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Monthly	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See daily Precipitation (L1_PCP_E) for further information. The monthly data is obtained by taking the daily PCP, summing the days of each month.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_M
16	L1_QUAL_LST_D	Quality Land Surface Temperature (Dekadal)	The quality layer gives an indication on the quality of the Land Surface Temperature (LST) input data. It shows the time between the date of the data file and the earlier remote sensing observation on which the data is based.	Raster Dataset	day	Byte (8bit Unsigned Integer)		255	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	The LST input uses each clear observation. For each clear LST observation a separate "observation quality" is calculated which is dependent on the viewing angle. Smaller viewing angles provide a better LST observation. For each day the following procedure is followed to calculate the LST:If there is no clear LST observation, then the previous value of LST is used. The observation quality is reduced 10% each day.If there is a clear LST observation then the new LST value will be a weighted mean of the previous observation and current observation, based on their observation quality.The Quality Indicator provides the number of days since the last clear observation, regardless of its observation quality.Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_QUAL_LST_D
17	L1_QUAL_NDVI_D	Quality of Normalized Difference Vegetation Index (Dekadal)	The layer gives an indication of the quality of the NDVI input data. It shows whether a valid observation was available for that dekad, and if not, the length of the data gap with the nearest valid observation.	Raster Dataset	d	Byte (8bit Unsigned Integer)		255	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	The quality layer is produced during the smoothing of the NDVI. The quality index (QI) for every pixel in each dekad depicts if and how a new value was created for that pixel. The procedure can be described as follows:1) First all the valid observations (not flagged) are treated. If the final estimate of the smoothed NDVI is very close to the (pre-cleaned) NDVI value, the QI is set to 0 (ideal situation). Where a valid observation was present but it was adapted by the smoothing, the QI is set to 250 ("valid-smoothed" in the legend).2) For the remaining (flagged) observations, the QI is set to the number of days in-between the surrounding valid observations (i.e. with QI=0 or 250). If the length of the data gap exceeds 240 days, it is saturated to 240. The fundamental idea is that the longer the gap, the less reliable the smoothing is. For the observations at the profile edges, it is assumed that the (a priori unknown) observations preceding the first valid observation and following the last valid observations are "good"This quality layer depicts the quality for the NDVI, fAPAR, albedo and NPP, as all these data components rely on the same input, i.e. the spectral reflectance data. Furthermore, the length of the data gap is the same.Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_QUAL_NDVI_D
18	L1_RET_A	Reference EvapoTranspiration (Annual)	Reference EvapoTranspiration (RET) is defined as the evapotranspiration from a hypothetical reference crop and it simulates the behaviour of a well-watered grass surface. The value of each pixel represents the total of the daily reference evapotranspiration for that specific year.	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 20km (0.17 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See daily Reference EvapoTranspiration (L1_RET_E) for further information. The annual data is obtained by taking the daily RET, summing the days of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_RET_A
19	L1_RET_D	Reference EvapoTranspiration (Dekadal)	Reference EvapoTranspiration (RET) is defined as the evapotranspiration from a hypothetical reference crop and it simulates the behaviour of a well-watered grass surface. The value of each pixel represents the average of the daily reference evapotranspiration for that specific dekad.	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Byte (8bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	255	Approximately 20km (0.17 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	See daily Reference EvapoTranspiration (L1_RET_E) for further information. The dekadal average is obtained by taking the daily RET, summing the days of each dekad, and dividing the total by the number of the days in the dekad.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_RET_D
20	L1_RET_E	Reference EvapoTranspiration (Daily)	Reference EvapoTranspiration (RET) is defined as the evapotranspiration from a hypothetical reference crop and it simulates the behaviour of a well-watered grass surface. Each pixel represents the daily reference evapotranspiration in mm.	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Byte (8bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	255	Approximately 20km (0.17 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Daily		As for Actual EvapoTranspiration, it is derived using the Penman-Monteith equation, with the distinction that most of the variables are predefined. The following data is used to calculate RET: daily incoming solar radiation and weather data (temperature, humidity, wind speed).Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_RET_E
21	L1_RET_M	Reference EvapoTranspiration (Monthly)	Reference EvapoTranspiration (RET) is defined as the evapotranspiration from a hypothetical reference crop and it simulates the behaviour of a well-watered grass surface. The value of each pixel represents the total of the daily reference evapotranspiration for that specific month.	Raster Dataset	mm (1mm=1l/m² or 1mm=10m³/ha)	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	Approximately 20km (0.17 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Monthly	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See daily Reference EvapoTranspiration (L1_RET_E) for further information. The monthly data is obtained by taking the daily RET, summing the days of each month.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_RET_M
22	L1_T_A	Transpiration (Annual)	The Transpiration (T) data component is the actual transpiration of the vegetation canopy. The value of each pixel represents the total annual transpiration for that specific year.	Raster Dataset	mm	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See transpiration (T) by dekad for further information. The annual total is obtained by taking the T in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_T_A
